Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,51,290.6114251687038,50
55,149,169.97531953739448,143
54,70,144.18046374905992,55
53,38,182.10613470116206,30
52,26,127.33465063618041,23
51,116,119.00242754157546,114
50,85,166.39390409248733,74
49,133,149.22501491034976,125
48,155,140.1185398636493,138
47,212,111.24787180196209,201
46,165,111.64655401300435,151
45,57,105.69179799157932,37
44,1202,125.18815047080075,1198
43,156,101.6371371482935,11
42,604,,
41,73,37.740573159853184,2
40,3,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
