Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,50,,
55,152,119.13078969097388,146
54,71,98.51005577768204,59
53,36,58.23517599015659,32
52,24,65.5003573891682,23
51,118,80.48921240993286,116
50,85,450.6005157128277,76
49,140,87.6017557205231,134
48,143,54.66004718126376,135
47,198,36.64010352063825,184
46,176,54.22533746557578,145
45,62,55.8549980543056,36
44,1195,52.267870039561245,1190
43,164,22.216504702997444,11
42,614,,
41,65,116.2769579775642,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
