Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,50,,
55,151,154.3306964761356,145
54,69,137.31668595525392,56
53,36,178.7366424561638,29
52,24,127.18597290543966,20
51,112,129.77091901896034,107
50,89,140.46280990705873,71
49,137,141.80984534121853,126
48,156,136.2010652810349,140
47,207,108.25694335238276,198
46,173,109.57668146584652,156
45,51,107.62424292796311,36
44,1193,123.71260463521193,1188
43,166,100.58710658969318,11
42,618,,
41,61,54.22303570513272,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
