Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,50,378.21839,48
55,152,368.26456889403295,144
54,72,362.65001161130334,58
53,35,415.57039212711214,30
52,22,303.093424158896,19
51,119,341.3243851554623,113
50,89,725.1390468693628,77
49,131,639.083850818177,126
48,146,465.7603105569868,130
47,208,459.57067506411767,189
46,182,300.7293940743146,156
45,53,302.8858928105893,38
44,1212,298.72900683680524,1209
43,145,220.38868054858486,11
42,605,,
41,74,347.3462507961041,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
