Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,52,412.32637156862745,51
55,150,50.61833268965517,145
54,75,16.005798709677446,62
53,32,12.785342580645155,31
52,25,32.82730652173912,23
51,106,13.827850673076934,104
50,92,25.236712492957757,71
49,141,12.978414976923078,130
48,141,12.581073023255819,129
47,210,8.192336789473684,190
46,189,9.712596439024392,164
45,42,6.998767142857143,35
44,1205,6.682104011676395,1199
43,154,1.2887249999999966,10
42,610,2.221638275862071,609
41,69,0.27839666666668944,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
