Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,51,328.2482923656278,50
55,147,130.62719431405952,141
54,71,107.44243369662462,54
53,40,78.32525901934068,31
52,24,80.49470049845769,22
51,119,74.1367770308037,116
50,75,176.76498682093705,66
49,143,92.31991817656812,127
48,150,67.64847204463196,135
47,206,52.71738819929629,192
46,177,62.372762809226806,154
45,54,51.204509956307646,37
44,1219,61.97207249058553,1215
43,139,60.786248204520824,11
42,602,,
41,76,53.2407344931533,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
