Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,50,,
55,153,176.1730152451026,147
54,70,157.54282634489402,59
53,33,204.9983634419511,29
52,28,132.70470591713388,24
51,110,134.02092676103442,109
50,89,151.32490767359272,73
49,131,135.8319770134837,122
48,160,134.14129175191815,140
47,196,118.60905614339352,187
46,178,119.41614049996066,150
45,59,118.44609804507546,38
44,1204,142.85733625392953,1201
43,152,90.48428375041922,10
42,613,120.97313666690985,612
41,67,135.78008236648392,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
