Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,51,,
55,145,146.00794587059073,140
54,73,153.86309356045984,55
53,37,191.9179016218971,29
52,26,138.3337431526946,22
51,120,126.45383046461477,117
50,81,132.689402712109,73
49,134,139.31597387244432,125
48,153,133.9217263631948,136
47,209,109.86532442774259,196
46,172,111.05195900185902,153
45,54,110.00643299614946,36
44,1209,135.00628731865626,1204
43,147,93.49224422658212,8
42,610,114.1318412977733,607
41,71,67.65293923873949,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
