Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,50,354.11780674747166,49
55,144,152.82106671699103,137
54,76,165.29596173015707,55
53,35,142.0170461392435,27
52,29,144.44798623166153,23
51,116,143.5615011006459,114
50,84,343.3114432871026,73
49,136,127.02611014820047,127
48,154,128.36939697388266,139
47,207,84.77662404254322,197
46,172,105.62871730560147,154
45,57,102.26384924577698,40
44,1202,116.97128602512521,1201
43,153,86.12945771310305,11
42,605,,
41,74,136.67429857163933,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
