Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,52,,
55,138,169.1905301497404,134
54,83,165.61373912726327,59
53,35,193.24053609510688,31
52,25,129.9555637241924,23
51,111,138.64644235980575,109
50,90,173.32845624819004,74
49,136,134.38713610013335,128
48,146,128.84165913905252,132
47,213,118.89374365919203,196
46,172,118.77008814906489,153
45,55,115.3327990659433,37
44,1210,142.66474528946324,1206
43,146,111.73863786236595,9
42,610,119.83585577613441,608
41,71,125.95719433436072,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
