Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,47,290.3905430937581,46
55,153,149.81904188729155,143
54,72,1410.6969361673455,57
53,37,76.2740097239608,31
52,25,349.9644347421508,23
51,115,119.18474393756009,113
50,83,31280621887.53517,71
49,134,18421.22499194365,123
48,152,347610.87288572226,133
47,207,6957749.060505029,191
46,180,1337381.5707177343,156
45,48,1301568.1874326372,33
44,1217,235434.56991340374,1209
43,144,2523450.0663206144,10
42,615,42249.118254950066,614
41,64,2655909.1358576883,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
