Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,52,280.33485080278894,51
55,153,171.06383115848314,148
54,68,155.37063116144463,58
53,32,194.3251559296864,27
52,27,135.3235968613666,21
51,116,133.00197833651754,112
50,92,152.2877688001206,79
49,132,131.08346782379968,129
48,142,134.0407481460231,129
47,217,117.12423845276724,197
46,173,115.96859300486915,155
45,53,106.57658079727781,37
44,1198,137.5635968233882,1194
43,158,86.80398154327888,9
42,609,118.99606616818302,607
41,71,153.2128752610987,3
40,2,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
