Iteration,SampleCount,P_TEMP_EQUIL,P_TEMP_EQUIL_Weight
56,55,480.6962277777778,54
55,140,55.943677101449275,138
54,78,20.186350344827602,58
53,33,7.938835714285723,28
52,27,16.212482727272718,22
51,117,15.244274385964921,114
50,85,32.45764840540541,74
49,137,15.55999087596899,129
48,147,10.926622910447763,134
47,210,6.469608461538461,195
46,171,8.518437417218548,151
45,56,5.693103611111114,36
44,1207,5.845376580698837,1202
43,151,1.122907999999987,10
42,608,1.9588941845140047,607
41,72,0.9977850000000075,4
40,1,,
39,3,,
38,1,,
37,7,,
36,28,,
35,3,,
34,13,,
33,16,,
32,12,,
31,56,,
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
