Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,51,,
55,143,0.0428277297826087,138
54,77,0.020502135087719323,57
53,36,0.01971329453333329,30
52,25,0.032581927318181825,22
51,112,0.01573527717431192,109
50,91,0.011993940239999971,75
49,135,0.010654685398437473,128
48,154,0.015549368785714274,140
47,208,0.005644072155778891,199
46,175,0.004704649547169801,159
45,45,0.0030590651212121086,33
44,1215,0.003295140103562548,1207
43,145,0.0009086322222222362,9
42,606,0.0020837412582781463,604
41,75,0.0004950999999999706,4
40,1,,
39,3,,
38,1,,
37,7,0.0003963099999999553,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.00011115000000005981,2
31,51,0.0002730120833333109,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
