Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,52,,
55,146,0.039603638787308715,142
54,71,0.024411212412534477,55
53,38,0.034750708507760464,30
52,24,0.03563117301057051,21
51,114,0.03269194591697296,110
50,91,0.12062651369580268,76
49,139,0.03892485239770449,133
48,150,0.029207166557692597,141
47,197,0.02507496476419718,189
46,181,0.019791788174789823,155
45,52,0.016274132862381222,36
44,1212,0.02008813092470979,1207
43,143,0.0054561582551607936,7
42,613,0.013258412923395338,609
41,70,0.10767626851056741,4
40,1,,
39,3,,
38,1,,
37,7,0.0041154295003974495,2
36,24,,
35,7,,
34,13,,
33,16,,
32,11,0.02661803819955888,1
31,52,0.00929115410002001,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
