Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,50,0.32951131927759725,49
55,151,0.11756275423618265,144
54,71,0.12171589742497274,57
53,33,0.14260331696769676,27
52,28,0.1321772995287044,22
51,117,0.09136811189458194,114
50,84,0.1291438924720511,73
49,141,0.12296229585496807,132
48,147,0.11661424682721358,137
47,201,0.11663484123318274,189
46,181,0.1331602401805967,155
45,54,0.13007287467799475,38
44,1215,0.09396274347220873,1212
43,140,0.11519293844335421,9
42,603,0.09674689137378752,601
41,78,0.1994070086483718,4
40,1,,
39,3,,
38,1,,
37,7,0.024943300567358384,2
36,25,,
35,6,,
34,13,,
33,16,,
32,11,0.1787093776483213,1
31,56,0.08688652622923965,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
