Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,48,,
55,154,0.3119226927321157,146
54,67,0.3421726213345959,55
53,38,0.4069439506952862,30
52,27,0.43393190759051914,24
51,114,0.3276552535404671,113
50,86,0.3460701202554882,74
49,139,0.3477553807746179,131
48,150,0.42322664770503793,139
47,203,0.3853084950770919,193
46,178,0.4334528100743831,156
45,52,0.421490454673986,37
44,1199,0.2409620117800909,1195
43,156,0.2813239495255372,8
42,614,0.2523597420311357,611
41,68,0.39231849810182706,4
40,1,,
39,3,,
38,1,,
37,7,0.035884786382394784,2
36,26,,
35,5,,
34,13,,
33,16,,
32,11,0.39093932746159543,1
31,53,0.2536338733314702,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
