Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
58,67,0.9971990048897407,66
57,163,0.9202292189306438,158
56,94,0.8807836975185999,73
55,54,0.7421642879641883,46
54,32,0.761642929942606,27
53,145,1.213129916808706,141
52,143,1947214.9282773156,132
51,208,1.5742497750524254,195
50,208,1.1059534053307734,186
49,262,1.8234425712865578,246
48,187,0.616689267338172,167
47,59,0.9036755889672426,39
46,1234,0.71061223731874,1224
45,161,0.5141584113451881,10
44,619,0.6856334753350541,617
43,64,1.1052370456174048,4
42.0,1.0,,
41.0,3.0,,
40.0,1.0,,
39,10,0.7573286500158856,2
38.0,28.0,,
37,7,,
36,17,,
35,22,,
34,13,1.149565142879384,1
33,59,0.660098194595144,25
32,11,,
31,16,,
30,11,,
29,18,,
28,12,,
27,83,,
26,3,,
25,6,,
21.0,1.0,,
20.0,3.0,,
18.0,1.0,,
