Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,54,0.39528916735849057,53
55,154,0.30662334241890227,151
54,64,0.3518152223948269,57
53,37,0.37578023200847444,31
52,24,0.4402915487936172,22
51,114,0.31403170822748244,111
50,81,0.33733391323260803,67
49,152,0.36671651343495354,137
48,138,0.40467054213964804,133
47,220,0.38380752712065547,204
46,169,0.41257326037867825,158
45,51,0.3973009387117908,38
44,1193,0.242368531959776,1190
43,161,0.25168215912274683,8
42,603,0.2491031419295374,600
41,78,0.38853223573748685,3
40,2,,
39,3,,
38,1,,
37,7,0.03222078041692522,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.4107953181293782,2
31,54,0.25381812315378965,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
