Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,51,0.20504379565324093,50
55,145,0.0077788400448109574,139
54,77,0.011761417467526215,58
53,34,0.00402553471226967,29
52,26,0.017344652656064052,22
51,118,0.06251738994623268,115
50,90,1614512.168542119,80
49,130,18.756873169111657,128
48,140,0.8239019280069487,126
47,221,2.882993288968709,198
46,170,3035.768329551539,153
45,53,122054.51408432439,35
44,1217,86159.7219947899,1211
43,142,21034.108122828555,10
42,612,37847.620712893375,611
41,66,104073.61992936718,2
40,3,,
39,3,,
38,1,,
37,6,6735.596307935842,1
36,25,5134.986155037367,24
35,7,,
34,13,,
33,16,,
32,12,10958.865468940185,2
31,52,13184.470451190657,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
