Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,51,,
55,145,0.15443150280804352,140
54,74,0.15027732440640787,56
53,37,0.15226931424855172,30
52,26,0.1992911869290515,23
51,113,0.11673837124732153,111
50,86,0.167914452507842,72
49,131,0.1307562830515169,121
48,157,0.12662110982158298,136
47,206,0.13808911316315997,193
46,181,0.1332554488427331,159
45,46,0.13124179717628234,34
44,1223,0.08879599775048395,1216
43,137,0.1306205534850484,10
42,609,0.09160349734852691,608
41,71,0.01850498781601906,4
40,1,,
39,3,,
38,1,,
37,6,0.10879496616623263,1
36,27,0.0984713260027352,26
35,5,,
34,13,,
33,16,,
32,12,0.0601620215337878,2
31,52,0.0713152297901066,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
