Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,55,0.2528480695837033,54
55,147,0.11742845415426752,145
54,74,0.11335892218308376,61
53,33,0.13732618440645564,31
52,23,0.13762295661599364,21
51,123,0.09172219662897974,119
50,74,0.13143410109279827,68
49,141,0.11890644307939068,127
48,145,0.1070596564323083,130
47,212,0.1161520971939526,193
46,172,0.13137511664585477,150
45,55,0.15059011035446854,34
44,1214,0.09209980633623539,1207
43,147,0.10465134365208288,11
42,610,,
41,69,0.21197768062212657,4
40,1,,
39,3,,
38,1,,
37,7,0.048741717005996166,2
36,26,,
35,5,,
34,13,,
33,16,,
32,11,0.18875697768179067,1
31,53,0.08582558137225678,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
