Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,54,,
55,151,0.021710288671854996,149
54,68,0.011955203716165737,59
53,33,0.00939851468240185,29
52,27,0.013087318812278897,23
51,110,0.012138532583543702,108
50,90,0.014422541929353223,73
49,129,0.009524468517739358,120
48,160,0.007663651749012191,138
47,205,0.005634958710827703,194
46,175,0.004244363730937114,154
45,52,0.005657710124608001,35
44,1212,0.0036377452577898116,1206
43,147,0.0032002227742060465,10
42,611,0.003605127090503627,610
41,67,0.005464835312999239,2
40,3,,
39,3,,
38,1,,
37,7,0.00197798790130832,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.007396433808483649,2
31,52,0.0025770987212998774,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
