Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,53,0.3417941009139434,51
55,153,0.12564290921696114,148
54,64,0.11544344594311058,54
53,37,0.14966262753757917,28
52,28,0.1303659424132545,23
51,116,0.09042907942760386,114
50,86,0.12006603601295279,75
49,132,0.12544762820031852,125
48,145,0.11970426198461515,128
47,223,0.12330409181409224,202
46,166,0.13004877819232,153
45,53,0.1274163972284406,35
44,1217,0.09539754199859465,1211
43,143,0.1083099187279072,11
42,605,,
41,74,0.18677335130287237,4
40,1,,
39,3,,
38,1,,
37,7,0.0296304634604993,2
36,26,,
35,5,,
34,13,,
33,16,,
32,11,0.18832656476150422,1
31,52,0.09238819568322969,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
