Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,51,,
55,151,0.07911422606134588,146
54,70,0.07372769193664068,58
53,34,0.10559187342277257,29
52,27,0.060852788816598946,23
51,110,0.09505948393592163,108
50,92,0.06901880136366702,75
49,142,0.09325747101718584,135
48,144,0.08955189386426646,137
47,208,0.0885099410486314,196
46,175,0.06930745905834526,156
45,53,0.05746160719966662,38
44,1196,0.07931054328412103,1193
43,160,0.04903360327314332,10
42,605,0.04918723432990234,604
41,75,0.15066823281145958,4
40,1,,
39,3,,
38,1,,
37,6,0.014601695197868803,1
36,28,0.04819383094627873,27
35,4,,
34,13,,
33,16,,
32,12,0.011569656600508682,2
31,52,0.01794117826320345,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
