Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,55,0.2999213709911043,54
55,147,0.04639272103131202,145
54,72,0.02389007250545862,59
53,30,0.034104320527165846,26
52,30,0.030574463492336033,23
51,109,0.03589893360623875,107
50,90,0.06345473559326517,72
49,145,0.030527996802554004,135
48,136,0.03432098727539934,129
47,215,0.024932913668296017,195
46,173,0.01316586832307749,153
45,56,0.034558596282996054,38
44,1220,0.01571055202900879,1217
43,137,0.00671962276577398,11
42,600,,
41,77,0.10178025850871009,2
40,3,,
39,3,,
38,1,,
37,7,0.01880555918140836,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.010845988725106448,2
31,52,0.010481073330887762,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
