Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,53,0.5412086874509804,51
55,141,0.046302935,136
54,82,0.017155084999999997,60
53,32,0.03358572641379308,29
52,23,0.01067181326315795,19
51,121,0.013415054104347826,115
50,84,0.013924885108108095,74
49,136,0.024166879773437486,128
48,144,0.024790634038461535,130
47,211,0.006717850192708331,192
46,177,0.00549631693506494,154
45,56,0.003488250230769217,39
44,1216,0.003893568023064246,1214
43,140,0.0009277409090909138,11
42,609,,
41,70,0.002520349999999949,4
40,1,,
39,3,,
38,1,,
37,7,0.0003297899999999965,2
36,26,,
35,5,,
34,13,,
33,16,,
32,11,0.0,1
31,54,0.000616592307692311,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
