Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,53,0.35493038801738946,52
55,152,0.14542211968302068,148
54,66,0.1531006259079423,56
53,38,0.17003781613956723,31
52,27,0.19015147972502286,25
51,115,,
50,86,0.1701391489293622,76
49,128,0.14497559087427178,122
48,156,0.14836512199579852,136
47,202,0.15670211621200847,189
46,181,0.1367196315643009,155
45,51,0.1358762165343743,35
44,1210,0.09033532902713846,1204
43,150,0.12493663689393444,11
42,605,,
41,74,0.06772202305816821,4
40,1,,
39,3,,
38,1,,
37,7,0.0623288527725151,2
36,24,,
35,7,,
34,13,,
33,16,,
32,11,0.052271339711695175,1
31,56,0.06980457670559234,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
