Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,55,,
55,139,0.0467426923302753,138
54,74,0.028009529619335383,54
53,42,0.05233560077383334,33
52,22,,
51,119,0.02439213716642544,116
50,83,0.06891240987119854,74
49,139,0.04213105382652323,131
48,145,0.028537206488299945,134
47,206,0.018449341010080632,191
46,178,0.01620716368895496,154
45,49,0.017093185752380405,32
44,1222,0.014497354746504596,1213
43,139,0.011967600270017316,9
42,605,0.012872552206972811,603
41,76,0.04988704307404962,4
40,1,,
39,3,,
38,1,,
37,7,0.010470545458806713,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.037030473832778577,2
31,54,0.006777636582182397,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
