Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,50,0.3549196459687975,49
55,148,0.14369622765974963,141
54,77,0.14957152566480975,60
53,31,0.18180214813856305,28
52,28,0.19575587258571062,23
51,115,0.11641232340409546,113
50,89,0.16862448829736942,77
49,129,0.14163227951800247,124
48,159,0.14785108831258797,141
47,207,0.15703282127677387,199
46,176,0.13399568165228806,160
45,49,0.12710885631803157,38
44,1207,0.0895777841350589,1204
43,148,0.12121733259897353,9
42,601,0.08474641550258737,599
41,80,0.07049436077320803,4
40,1,,
39,3,,
38,1,,
37,7,0.06419182213722197,2
36,20,,
35,11,,
34,13,,
33,16,,
32,12,0.08149890479980126,2
31,53,0.07486221763088521,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
