Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,52,,
55,145,0.02122324274449164,141
54,74,0.013525638913075025,57
53,37,0.009014443973749458,31
52,26,0.013106172775616433,24
51,111,0.012384126184635377,110
50,86,0.013256872809110552,71
49,139,0.009351107466807635,128
48,147,0.007677314475964921,133
47,209,0.005692055428042174,193
46,174,0.004646928281713677,152
45,56,0.0056849665670972134,37
44,1219,0.003586348526939375,1215
43,137,0.0033044222521423977,9
42,614,0.0036913174382255283,612
41,66,0.0029548278531489705,3
40,2,,
39,3,,
38,1,,
37,6,0.0014198821726787436,1
36,23,0.005691207304431027,22
35,9,,
34,13,,
33,16,,
32,12,0.006245397571545519,2
31,52,0.00266130811069353,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
