Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,46,,
55,151,0.09973765241861829,141
54,75,0.10417411296335014,58
53,33,0.11556716069396351,28
52,29,0.1050927889586235,24
51,116,0.0724875192123862,115
50,87,0.19956112537398962,77
49,136,0.08725650117420347,131
48,136,0.06963137941662176,125
47,216,0.061403377898260544,192
46,177,0.05758130216972919,154
45,55,0.04968002763830652,38
44,1211,0.05647859334406581,1208
43,145,0.026215915815481567,10
42,616,0.02662335893026943,615
41,64,0.1089689577311043,4
40,1,,
39,3,,
38,1,,
37,7,0.0317663511724508,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.034780431376340126,2
31,51,0.02409329057209568,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
