Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,51,,
55,146,0.30992542508149806,141
54,74,0.3442911317215604,57
53,35,0.3630827172935274,29
52,28,0.42957195766131934,24
51,110,0.31884815760308066,109
50,92,0.33573662549981065,76
49,131,0.3658449090868937,125
48,152,0.40657909766970785,135
47,203,0.3817441175986526,189
46,176,0.42610702657754496,150
45,60,0.4019474396187328,39
44,1211,0.2429509378522253,1209
43,143,0.25766587487441633,9
42,619,0.25436125484373395,617
41,62,0.3919334339159136,4
40,1,,
39,3,,
38,1,,
37,7,0.03550018908242969,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.4137794232675338,2
31,51,0.23776576304579958,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
