Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,54,,
55,141,0.1648532748334757,139
54,69,0.14365553954347038,50
53,44,0.17861620374842482,31
52,24,0.2042111275064756,22
51,115,0.12630022425556353,112
50,85,0.16223822312375183,72
49,143,0.13975386461581654,133
48,148,0.12732352608089342,139
47,203,0.1436587466517507,193
46,176,0.1332287046346267,154
45,56,0.13406779115481768,39
44,1220,0.08981203595191928,1218
43,136,0.11845817210193761,11
42,594,,
41,85,0.053437638021400724,4
40,1,,
39,3,,
38,1,,
37,7,0.050676057061175284,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.08291763337594726,2
31,51,0.07825318612789917,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
