Iteration,SampleCount,S_HZ_OPT_MIN,S_HZ_OPT_MIN_Weight
56,51,0.22019326457039876,50
55,144,0.0677854660178045,138
54,80,0.06974771579671653,60
53,32,0.03022239566245344,29
52,26,0.10815882013228864,22
51,117,0.060595401475802065,114
50,87,6563887.927192092,76
49,133,1.7591655923692802,127
48,149,0.36410747072724314,134
47,210,0.8109139551021531,195
46,177,10.627922512024144,157
45,53,1.4659699091319818,39
44,1205,18.28229315156734,1203
43,150,0.12686307281337353,10
42,608,0.9770250659435776,607
41,71,4.109379489682663,3
40,2,,
39,3,,
38,1,,
37,7,0.21158719246873364,2
36,25,,
35,6,,
34,13,,
33,16,,
32,11,1.6372211499818423,1
31,55,0.09189781849290327,27
30,7,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
