Column,Mean_Error
P_MASS,463.6604171092508
P_RADIUS,0.8735245992165339
P_GRAVITY,5.164508218152904
P_DENSITY,1.9257789454446799
P_ESI,0.04785647919964972
P_RADIUS_EST,0.7053938453850586
P_MASS_EST,249.37145158497523
P_SEMI_MAJOR_AXIS_EST,0.4150024931108209
P_ESCAPE,0.5871347387637327
P_POTENTIAL,8.710039813779277
P_HILL_SPHERE,0.030101524020270533
P_DISTANCE_EFF,0.39963503977605386
P_PERIOD,459.3634375534617
P_SEMI_MAJOR_AXIS,0.271719920680888
P_ECCENTRICITY,0.0787167181902055
P_INCLINATION,4.096945046633613
P_OMEGA,115.96060978506519
P_TPERI,3790.0069711907613
P_ANGULAR_DISTANCE,14.195374036875371
P_IMPACT_PARAMETER,0.21381514325745174
P_DISTANCE,0.42195276456401437
P_PERIASTRON,0.3086814115953851
P_APASTRON,0.45213720413113806
P_FLUX,209.43848072389565
P_TEMP_EQUIL,116.39388921834858
S_TEMPERATURE,186.83174276804468
S_MASS,0.08653826791068542
S_RADIUS,0.21962746651312556
S_AGE,0.7339767651797101
S_LOG_G,0.06658589016189768
S_RADIUS_EST,0.7213814298113764
S_DISTANCE,349.8034734950039
S_MAG,0.8275382837917823
S_METALLICITY,0.11063934943191218
S_LUMINOSITY,0.8403205035642234
S_HZ_OPT_MIN,0.10189351895906702
S_HZ_OPT_MAX,0.23341513776214345
S_HZ_CON_MIN,0.11933267165738867
S_HZ_CON_MAX,0.220149091809108
S_HZ_CON0_MIN,0.1397245212415837
S_HZ_CON0_MAX,0.23836499347450363
S_HZ_CON1_MIN,0.1174899027550441
S_HZ_CON1_MAX,0.24176556211477496
S_SNOW_LINE,0.32848354714567723
S_ABIO_ZONE,0.5858721958748699
S_TIDAL_LOCK,0.028977749505502137
