Column,Mean_Error
P_MASS,495.42433437070076
P_RADIUS,0.9114102945398902
P_GRAVITY,5.915089595756804
P_DENSITY,2.435800529420723
P_ESI,0.05102769888875069
P_RADIUS_EST,0.798313325803119
P_MASS_EST,379.874089981462
P_SEMI_MAJOR_AXIS_EST,0.3906475039375575
P_ESCAPE,0.9120068409214199
P_POTENTIAL,11.549770272697616
P_HILL_SPHERE,0.050542361591423446
P_DISTANCE_EFF,0.38754824268378063
P_PERIOD,437.9404709935628
P_SEMI_MAJOR_AXIS,0.40002963447235396
P_ECCENTRICITY,0.08723552425035745
P_INCLINATION,4.21455556736801
P_OMEGA,114.196744277776
P_TPERI,3076.4276915080327
P_ANGULAR_DISTANCE,9.244908495621232
P_IMPACT_PARAMETER,0.21440460055893534
P_DISTANCE,0.3870599454574896
P_PERIASTRON,0.32783681890579386
P_APASTRON,0.4611519981007226
P_FLUX,251.23300608594747
P_TEMP_EQUIL,128.39761702319777
S_TEMPERATURE,187.32665356679252
S_MASS,0.08483587746642303
S_RADIUS,0.35801259338129965
S_AGE,0.7806938143808627
S_LOG_G,0.07984649027845547
S_RADIUS_EST,0.9330680385922743
S_DISTANCE,437.6896440767484
S_MAG,0.9824826754225763
S_METALLICITY,0.09347693230517025
S_LUMINOSITY,0.7992839682616835
S_HZ_OPT_MIN,0.09995184440660412
S_HZ_OPT_MAX,0.3007706630590012
S_HZ_CON_MIN,0.13757878882849844
S_HZ_CON_MAX,0.2684478623931609
S_HZ_CON0_MIN,0.14337233685842038
S_HZ_CON0_MAX,0.2588838286676963
S_HZ_CON1_MIN,0.11338486956636758
S_HZ_CON1_MAX,0.26032002087092593
S_SNOW_LINE,0.3312636121041571
S_ABIO_ZONE,0.7358805113078916
S_TIDAL_LOCK,0.03216952913274637
