Column,Mean_Error
P_MASS,109.90677276438622
P_RADIUS,0.10925889131620939
P_GRAVITY,1.4450761301017088
P_DENSITY,0.6306366018481115
P_ESI,0.02189348879353066
P_RADIUS_EST,0.27001649061460786
P_MASS_EST,69.52097312595559
P_SEMI_MAJOR_AXIS_EST,0.03203496297067464
P_ESCAPE,0.3460267665390174
P_POTENTIAL,2.9172803931587676
P_HILL_SPHERE,0.016074681246287435
P_DISTANCE_EFF,0.03738565300210574
P_PERIOD,43.3148603205264
P_SEMI_MAJOR_AXIS,0.038308168620172174
P_ECCENTRICITY,0.10910335436732504
P_INCLINATION,2.0288068777089623
P_OMEGA,141.355479953715
P_TPERI,4159.776331673104
P_ANGULAR_DISTANCE,5.5778353367508275
P_IMPACT_PARAMETER,0.21952730519653157
P_DISTANCE,0.036070675982827795
P_PERIASTRON,0.042041413807980654
P_APASTRON,0.05026910547220315
P_FLUX,57.31359760395253
P_TEMP_EQUIL,52.71451469526497
S_TEMPERATURE,62.43791629764825
S_MASS,0.04527798141609824
S_RADIUS,0.031622758808566576
S_AGE,0.4943450960750724
S_LOG_G,0.03980497746418304
S_RADIUS_EST,0.06783979519354086
S_DISTANCE,158.19599404335295
S_MAG,0.7311619339573779
S_METALLICITY,0.10473400962802801
S_LUMINOSITY,0.08460649428262561
S_HZ_OPT_MIN,0.01548640710917163
S_HZ_OPT_MAX,0.034975403482685935
S_HZ_CON_MIN,0.029986785437644502
S_HZ_CON_MAX,0.041478824957538386
S_HZ_CON0_MIN,0.01988722029557933
S_HZ_CON0_MAX,0.034269752591557505
S_HZ_CON1_MIN,0.019796846282863045
S_HZ_CON1_MAX,0.037224966789625204
S_SNOW_LINE,0.09914038119772747
S_ABIO_ZONE,0.21694923696034343
S_TIDAL_LOCK,0.015192951025292356
