Column,Mean_Error
P_MASS,296.1108628527128
P_RADIUS,0.49978147699713704
P_GRAVITY,2.3149953321971317
P_DENSITY,1.2628585113723505
P_ESI,0.03605369013496537
P_RADIUS_EST,0.6311326392923621
P_MASS_EST,105.61648409230779
P_SEMI_MAJOR_AXIS_EST,0.08976758416769105
P_ESCAPE,0.5533976537071552
P_POTENTIAL,11.513402534354393
P_HILL_SPHERE,0.022872207556691893
P_DISTANCE_EFF,0.0805798583999947
P_PERIOD,81.88589339064569
P_SEMI_MAJOR_AXIS,0.12339163102796483
P_ECCENTRICITY,0.10333677029595631
P_INCLINATION,4.482432235159444
P_OMEGA,108.2348322175876
P_TPERI,4618.653469478453
P_ANGULAR_DISTANCE,10.493962884070793
P_IMPACT_PARAMETER,0.23058325675965394
P_DISTANCE,0.08092830606139621
P_PERIASTRON,0.11062721620871198
P_APASTRON,0.11127607697372818
P_FLUX,186.016219830945
P_TEMP_EQUIL,107.92573202962473
S_TEMPERATURE,137.09241319643743
S_MASS,0.07228760243335948
S_RADIUS,0.09490051824957225
S_AGE,0.6365704827567428
S_LOG_G,0.06965847192122662
S_RADIUS_EST,0.2248578251865822
S_DISTANCE,216.97956003122718
S_MAG,0.7836895440281946
S_METALLICITY,0.10753447111604715
S_LUMINOSITY,0.1902777539949362
S_HZ_OPT_MIN,0.059538555328423726
S_HZ_OPT_MAX,0.09783228541339649
S_HZ_CON_MIN,0.057649247673656374
S_HZ_CON_MAX,0.11415053490851967
S_HZ_CON0_MIN,0.05912592680792059
S_HZ_CON0_MAX,0.08425749048150133
S_HZ_CON1_MIN,0.05270846820928667
S_HZ_CON1_MAX,0.10600436762824368
S_SNOW_LINE,0.1681685768666754
S_ABIO_ZONE,0.40244727369532357
S_TIDAL_LOCK,0.017995987844286642
