Column,Mean_Error
P_MASS,694.5154548507414
P_RADIUS,4.171491171561901
P_GRAVITY,27.261871062012215
P_DENSITY,5.158642282964435
P_ESI,65.93292676607085
P_RADIUS_EST,5.061098495073792
P_MASS_EST,319.10853891327
P_SEMI_MAJOR_AXIS_EST,8.918246071625308
P_ESCAPE,355.6504817616547
P_POTENTIAL,45.29974946766705
P_HILL_SPHERE,1.9825579873987869
P_DISTANCE_EFF,0.536525332361081
P_PERIOD,234.5031410777391
P_SEMI_MAJOR_AXIS,7.36982984361826
P_ECCENTRICITY,0.2578624321484432
P_INCLINATION,86.29695461149956
P_OMEGA,142.17327170374963
P_TPERI,2455264.57839755
P_ANGULAR_DISTANCE,15.679419141071275
P_IMPACT_PARAMETER,0.2606408966141111
P_DISTANCE,5.636225658887067
P_PERIASTRON,2.3062855973773164
P_APASTRON,1.1122394771270854
P_FLUX,356.7635593304503
P_TEMP_EQUIL,782.4200754029888
S_TEMPERATURE,5477.366464641604
S_MASS,0.9871310456910705
S_RADIUS,1.710325910149644
S_AGE,4.739829616030423
S_LOG_G,3.492579332757238
S_RADIUS_EST,1.3484892179839099
S_DISTANCE,630.1567059010362
S_MAG,12.026484990673227
S_METALLICITY,0.9255547821402977
S_LUMINOSITY,7.451617251068648
S_HZ_OPT_MIN,0.9557912747176678
S_HZ_OPT_MAX,2.230265921655493
S_HZ_CON_MIN,1.251734786444446
S_HZ_CON_MAX,60.73736356734372
S_HZ_CON0_MIN,1.3743440412312327
S_HZ_CON0_MAX,2.1047864522423114
S_HZ_CON1_MIN,1.1050958707704852
S_HZ_CON1_MAX,2.1174984517323154
S_SNOW_LINE,3.440944235659789
S_ABIO_ZONE,122666350318503.7
S_TIDAL_LOCK,0.6599807123521957
