Column,Mean_Error
P_MASS,28.68746260598292
P_RADIUS,0.035129665551839606
P_GRAVITY,0.823325757090909
P_DENSITY,0.2592629188818182
P_ESI,0.012201339026706233
P_RADIUS_EST,0.20057406897506933
P_MASS_EST,36.39615256135015
P_SEMI_MAJOR_AXIS_EST,0.01246911630170455
P_ESCAPE,0.08900197327272721
P_POTENTIAL,2.315338195818182
P_HILL_SPHERE,0.013230801458888889
P_DISTANCE_EFF,0.010300345705681821
P_PERIOD,15.903630602222222
P_SEMI_MAJOR_AXIS,0.018622969391763864
P_ECCENTRICITY,0.08445638888888889
P_INCLINATION,1.296256756756756
P_OMEGA,133.23767272727275
P_TPERI,3052.0027777778064
P_ANGULAR_DISTANCE,2.37210518134715
P_IMPACT_PARAMETER,0.2527846715328467
P_DISTANCE,0.010316500715909093
P_PERIASTRON,0.03129549656534091
P_APASTRON,0.020012422816193184
P_FLUX,11.188520426950147
P_TEMP_EQUIL,10.484892513353113
S_TEMPERATURE,36.39207602339181
S_MASS,0.04722807017543861
S_RADIUS,0.0074804805105107165
S_AGE,0.3001135124324324
S_LOG_G,0.03053125000000004
S_RADIUS_EST,0.00994927935294136
S_DISTANCE,89.70238095238095
S_MAG,0.41317052023121403
S_METALLICITY,0.11277290836653388
S_LUMINOSITY,0.019236929077611934
S_HZ_OPT_MIN,0.006354812373134332
S_HZ_OPT_MAX,0.009016823731343286
S_HZ_CON_MIN,0.004707569999999995
S_HZ_CON_MAX,0.010420282268656733
S_HZ_CON0_MIN,0.009857756188059704
S_HZ_CON0_MAX,0.008228072238805974
S_HZ_CON1_MIN,0.003002762334328357
S_HZ_CON1_MAX,0.010216273044776125
S_SNOW_LINE,0.010759020567164186
S_ABIO_ZONE,0.05619633102611943
S_TIDAL_LOCK,0.009362798421052636
