Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,52,,
55,149,0.12154903813793105,145
54,72,0.043205723898305064,59
53,32,0.0413254607142857,28
52,28,0.03304364086956514,23
51,119,0.0277877982051282,117
50,80,0.035195905138888886,72
49,134,0.02247540891935483,124
48,153,0.0270280081481481,135
47,213,0.012536523407035174,199
46,166,0.00985844532000002,150
45,60,0.005792453333333362,39
44,1205,0.007979781762261018,1203
43,151,0.0016850236363636613,11
42,599,,
41,79,0.0004911999999999139,3
40,2,,
39,3,,
38,1,,
37,7,0.0008299999999998864,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.0004972500000000046,2
31,56,0.002004292413793135,29
30,5,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
