Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,50,,
55,149,1.4906490960002102e-15,143
54,69,1.3223705217255441e-09,54
53,40,4.686646250812971e-05,31
52,27,9.200306975154504e-07,25
51,111,,
50,87,0.00160012724213207,73
49,140,0.005974457538908555,131
48,145,0.018846822950712664,134
47,210,0.01243554723953059,195
46,174,0.04584005529922967,154
45,54,0.04756012790815245,37
44,1205,0.030471005052121695,1201
43,153,0.040657604181271026,11
42,609,,
41,69,0.15184961904644792,3
40,2,,
39,3,,
38,1,,
37,7,0.04839086466078002,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.18262813204865624,2
31,55,0.08553485349454189,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
