Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,54,0.7024865760496996,52
55,144,0.3376762459956248,140
54,73,0.3443964131809104,55
53,38,0.3817342703467827,30
52,25,0.47276788547944765,22
51,119,0.2756644709022888,116
50,87,0.3867288825645044,78
49,132,0.32530080084395674,128
48,147,0.3015239721417738,133
47,196,0.33979856170823913,180
46,193,0.303104104793003,158
45,49,0.30641335236929323,36
44,1219,0.22638496667230898,1214
43,140,0.2607910622555939,11
42,607,,
41,72,0.04235714599616758,4
40,1,,
39,3,,
38,1,,
37,7,0.1623129919266315,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.15765082287028576,2
31,53,0.1793731404800934,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
