Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,52,,
55,145,0.27358774788085494,141
54,74,0.2995679424001082,57
53,38,0.3436728264915328,32
52,22,0.4074146246779022,21
51,123,0.22303031700404075,119
50,79,0.2879209912301655,73
49,139,0.2674510394096874,130
48,144,0.2603092391006431,132
47,208,0.2596355025597257,191
46,181,0.29508204494518875,157
45,50,0.31365004286037274,36
44,1203,0.20606046025574656,1198
43,155,0.23264218546396953,10
42,608,0.2165245828392522,607
41,70,0.487102401937914,2
40,3,,
39,3,,
38,1,,
37,7,0.10264822555873432,2
36,28,,
35,3,,
34,13,,
33,16,,
32,12,0.4587555774354035,2
31,55,0.2056843772587047,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
