Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,51,,
55,148,0.24702714320635907,143
54,72,0.21348252736108894,57
53,35,0.19183711613742666,29
52,26,0.13935498907992913,22
51,115,0.17103849831636403,112
50,90,0.31695421757268916,77
49,135,0.23511638097619963,130
48,151,0.17930647438924777,139
47,209,0.1974613419041177,199
46,168,0.12438362763385853,152
45,53,0.20593310963260514,34
44,1205,0.11576320712973293,1198
43,154,0.15923193106297656,9
42,610,0.06908020931872948,608
41,70,0.19214512620549748,3
40,2,,
39,3,,
38,1,,
37,6,0.0784799193448058,1
36,27,0.11645915096342578,26
35,5,,
34,13,,
33,16,,
32,12,0.1141326211161604,2
31,53,0.04761449607936319,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
