Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,54,1.0040074477735847,53
55,143,0.6922858364987894,140
54,73,0.7386532596411843,55
53,34,0.8656367111179486,26
52,30,1.005663832806219,23
51,117,0.6792442523532025,115
50,86,0.7581927598308438,76
49,140,0.8036120875949082,134
48,145,0.9071554051749381,137
47,198,0.8448320638645608,186
46,179,0.9482147150911489,150
45,60,0.8550673857290155,39
44,1213,0.5323803605044879,1211
43,143,0.5918854572605562,11
42,604,,
41,75,0.8362245918158144,4
40,1,,
39,3,,
38,1,,
37,7,0.08657047900367032,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.8945522287689283,2
31,53,0.5233626921852762,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
