Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,50,,
55,145,0.7001911080408532,139
54,76,0.7748678940668525,57
53,35,0.8429785155035354,29
52,24,0.7920075794171274,20
51,116,0.7139298414603148,111
50,89,0.7497292865717367,75
49,139,0.7951000542178318,132
48,141,0.8796087630360653,131
47,216,0.8378671668330021,198
46,172,0.9198757768760102,155
45,50,0.884405064411663,34
44,1223,0.5317291661148579,1216
43,138,0.5876399816855328,11
42,603,,
41,75,0.839226861162045,3
40,2,,
39,3,,
38,1,,
37,7,0.08982326498754922,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.898120768957974,2
31,52,0.54040555176026,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
