Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,55,0.9542706311320754,53
55,144,0.7219475797066955,141
54,75,0.7736602691348791,58
53,33,0.8344654103906128,28
52,29,0.8641012395039956,24
51,110,0.6950249688461534,109
50,89,0.7220344197368799,73
49,133,0.8035454739608767,124
48,150,0.9275620412712248,132
47,208,0.842418083402882,191
46,179,0.9320283976929812,155
45,55,0.8671388702733944,39
44,1210,0.5342622994187907,1208
43,144,0.5455098378606816,9
42,618,0.5627178617728323,616
41,63,0.8339692481916023,4
40,1,,
39,3,,
38,1,,
37,7,0.08431786995796542,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.8918537993499878,2
31,53,0.5501025769905217,26
30,8,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
