Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,45,,
55,155,0.04445108112678866,144
54,71,0.025762699410107993,57
53,37,0.017006195703550313,31
52,23,0.029794353756751997,21
51,119,0.024972967433530526,115
50,84,0.03133268643916782,74
49,136,0.02004594800270861,128
48,151,0.01735451722972747,137
47,211,0.009820626364679015,199
46,165,0.007346343432872789,149
45,62,0.00907908955908536,40
44,1202,0.004960418142283804,1201
43,153,0.004834765168662255,11
42,612,,
41,66,0.0048580740622501395,3
40,2,,
39,3,,
38,1,,
37,7,0.010344744098329084,2
36,23,,
35,8,,
34,13,,
33,16,,
32,12,0.006257163457593418,2
31,51,0.0030107229496618795,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
