Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,52,,
55,151,0.09704813556731023,147
54,66,0.06609674948281288,55
53,39,0.05073842208903342,31
52,26,0.0917047167944314,24
51,113,0.045659317075773295,112
50,88,0.3270753337992435,75
49,138,0.10547122145165659,131
48,136,0.07887528417354321,125
47,226,0.043932736603897106,202
46,164,0.03882026141542357,151
45,58,0.041325099651824404,38
44,1210,0.03335407410336217,1207
43,145,0.02551221349279474,9
42,603,0.040422380486179015,601
41,78,0.3047136649719663,4
40,1,,
39,3,,
38,1,,
37,7,0.06837119781070822,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,0.013069238897456481,2
31,51,0.02750734424153366,24
30,10,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
