Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,48,0.5598690000025054,46
55,146,0.20058913055774255,136
54,80,1.0214278601215723,58
53,34,0.05486319372004781,29
52,28,0.1901693439248569,24
51,113,0.8433927636844077,112
50,86,181169.5521194084,73
49,139,2557.052350732735,130
48,148,23362427.272889853,136
47,205,1932590.340614406,192
46,178,348237.5968691779,155
45,55,387141.5133900478,39
44,1213,823849.5570959056,1211
43,141,273985.1899171004,9
42,610,673492.4527583673,608
41,71,701081.5978006951,4
40,1,,
39,3,,
38,1,,
37,7,191382.77999963003,2
36,26,,
35,5,,
34,13,,
33,16,,
32,12,1288743.3969293023,2
31,55,785114.5864016968,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
