Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,53,0.5813741058919776,51
55,145,0.19941433309292042,140
54,76,0.24476414876019983,58
53,36,0.3686592092148263,31
52,25,0.22503357074000546,23
51,115,0.18237570222494956,113
50,89,0.20177937955506026,77
49,136,0.19197719544806005,131
48,145,0.2063473216916571,134
47,206,0.14030482351019213,191
46,180,0.12116341204225038,156
45,54,0.17537255843543106,39
44,1211,0.09079771651976605,1209
43,143,0.058263545883645046,9
42,604,0.07723828042456421,602
41,76,0.45457925110036596,3
40,2,,
39,3,,
38,1,,
37,7,0.0896786844807802,2
36,24,,
35,7,,
34,13,,
33,16,,
32,12,0.2390330461527297,2
31,52,0.029408953342588768,25
30,9,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
