Iteration,SampleCount,S_HZ_CON1_MAX,S_HZ_CON1_MAX_Weight
56,57,0.7914103584033696,55
55,142,0.11271063465759336,141
54,72,0.05066053642683597,55
53,39,0.0673140655524222,31
52,24,0.06009977221597473,22
51,117,0.05520597837379939,114
50,84,0.13379971996816117,73
49,137,0.09763167730712942,128
48,146,0.06732574790565313,132
47,212,0.05691376635294673,195
46,179,0.0291337004218478,159
45,47,0.031291955948827194,35
44,1216,0.031385265923579264,1210
43,142,0.02968297105288623,9
42,602,0.01926713717591757,600
41,79,0.03715197170425977,4
40,1,,
39,3,,
38,1,,
37,7,0.04088687364751997,2
36,25,,
35,6,,
34,13,,
33,16,,
32,12,0.06876657712075263,2
31,55,0.01955673762943026,28
30,6,,
29,9,,
28,4,,
27,13,,
26,6,,
25,67,,
23,3,,
19,1,,
16,1,,
