Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,53,639.2033831812527,51
55,144,182.7195855419829,139
54,76,72.2208792148251,57
53,34,79.09540444308513,28
52,28,98.5478228029592,23
51,117,48.63832555172785,115
50,83,350.8319576077182,73
49,138,85.5182169251123,129
48,154,72.62572338471395,141
47,205,63.5279872429435,197
46,169,38.31701606220045,151
45,56,52.20682631350947,36
44,1203,32.17499670834915,1198
43,155,31.79479477127607,10
42,611,25.787868660145698,610
41,69,28.810717663687818,4
40,1,,
39,3,,
38,1,,
37,6,,
36,26,61.31613196012418,25
35,6,106.39890839058508,3
34,10,,
33,19,150.54499203809763,16
32,11,265.7341840427755,10
31,50,38.412984728618845,49
30,12,55.33342242097446,5
29,8,,
28,5,471.76985868321754,4
27,12,173.8736968349089,11
26,6,656.7113498797609,4
25,67,101.21978873089883,18
24,1,,
23,3,,
19,1,,
16,1,,
