Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,54,43.25472457660719,52
55,147,13.30228708841267,143
54,74,72.61648469263699,59
53,35,11.18263699124962,31
52,24,17.410556016676054,22
51,119,62.91964918562999,116
50,81,1514799989.3054233,72
49,139,31827.971730109522,129
48,149,2314.153664006495,136
47,205,102.56369241585652,192
46,177,4381.778534780614,154
45,52,446.5736729253541,35
44,1205,368.4743000719531,1199
43,155,281.1699047405812,11
42,607,,
41,72,537.6812213642187,4
40,1,,
39,3,,
38,1,,
37,6,,
36,27,197.4219390616477,26
35,5,477.6842250417326,3
34,13,,
33,14,,
32,13,725.1485433379936,10
31,50,385.32158590707826,49
30,10,227.5846571613923,3
29,11,342.53989112539324,9
28,4,,
27,12,527.0962457177709,11
26,7,1888.4245026967776,5
25,65,404.9896238629365,17
24,2,,
23,3,,
18,1,,
16,1,,
