Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,50,,
55,152,514.5725975719179,146
54,66,518.4193821061681,54
53,39,521.4393450842099,30
52,27,528.5413503759629,24
51,109,526.8004243395956,108
50,90,676.0177785878661,73
49,145,444.4033012253494,136
48,139,449.35703405497856,133
47,217,453.1626668690346,201
46,166,447.7158757294297,152
45,57,445.1679157825914,38
44,1214,437.8717814143865,1211
43,142,413.7834649963674,10
42,588,443.96413659676523,587
41,92,240.38579785164677,4
40,1,,
39,3,,
38,1,,
37,6,,
36,27,460.57878327360027,26
35,4,423.2751432852117,2
34,11,445.5942456904128,10
33,18,536.969677858551,15
32,12,500.2029520491845,10
31,51,351.0844925261167,50
30,11,298.4391976958432,5
29,8,,
28,5,735.3117918162875,4
27,13,341.0223057173661,12
26,6,683.3715861563569,5
25,67,405.9010656985283,19
23,3,,
19,1,,
16,1,,
