Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,51,,
55,144,35.21887449647861,139
54,76,21.22803307842225,57
53,38,20.551998728165508,32
52,19,14.567482579152966,18
51,118,14.514604246117063,111
50,89,673.2570055085636,75
49,133,437.7399961772781,126
48,158,265.38315055206834,142
47,202,401.7350091033493,195
46,178,209.16548135292007,158
45,50,282.1986512133445,37
44,1202,175.0865876648714,1198
43,156,141.20577017719106,11
42,606,,
41,73,537.6803555,4
40,1,,
39,3,,
38,1,,
37,7,,
36,27,,
35,4,592.2854727986377,3
34,12,,
33,14,935.1560138483728,13
32,13,726.8560233579934,9
31,53,241.647480389141,51
30,10,364.9872557952714,5
29,7,,
28,6,1531.2006425,4
27,11,463.9098773745555,10
26,7,2098.3111041438824,4
25,66,99.74270739253264,17
24,2,,
23,3,,
19,1,,
16,1,,
