Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,52,,
55,146,21.29643523491722,142
54,74,13.968785940565681,58
53,36,10.158536202330286,31
52,26,8.337738594727309,24
51,115,5.0377298670890385,114
50,87,310.1502916567494,76
49,128,66.66511977141882,122
48,160,38.145169380342175,140
47,200,60.28253938849804,191
46,179,35.17542902813467,155
45,52,47.306553714097156,36
44,1198,25.24310397910744,1193
43,161,27.12596001080643,11
42,615,,
41,64,168.29338262166965,4
40,1,,
39,3,,
38,1,,
37,6,,
36,25,38.02575323352139,24
35,6,62.76185631996128,2
34,12,53.62125569117011,11
33,17,191.30999976477173,15
32,12,253.1282950694626,10
31,51,51.79020117839069,50
30,10,25.157428031398155,4
29,8,39.55759682707014,7
28,6,598.7487298556204,4
27,10,144.92956301451596,9
26,9,619.3972377803237,5
25,66,106.14142798847404,18
24,1,,
23,3,,
19,1,,
16,1,,
