Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,53,20.74583817098423,51
55,141,11.564626399718527,136
54,80,10.242300384779739,58
53,35,11.334104073098235,30
52,24,7.751033743108148,21
51,110,6.580597153630235,106
50,94,614.3859706128155,75
49,130,73.70200667868527,123
48,150,45.20754196673312,131
47,203,57.98817768585181,185
46,190,36.48398384952535,160
45,47,48.02224398501688,36
44,1229,25.783955405508316,1224
43,130,27.073240170152587,11
42,617,,
41,61,187.91713498778063,3
40,2,37.15670215356252,1
39,3,,
38,1,,
37,7,,
36,25,,
35,5,99.79361579390564,2
34,13,61.33031578393463,12
33,14,233.438836649139,13
32,14,252.93892374943866,10
31,48,56.4293375164292,47
30,14,32.25523696664445,5
29,8,,
28,3,144.76130024611368,2
27,14,152.26649472653736,11
26,6,723.7481200015166,4
25,67,60.1773416419863,18
24,1,,
23,3,,
19,1,,
16,1,,
