Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,54,,
55,144,515.0703209605634,142
54,72,519.6472306819746,56
53,36,519.1736999095153,29
52,27,526.9338180887684,23
51,115,526.2538241621236,113
50,79,693.2798009730752,67
49,145,402.0215729460342,130
48,147,422.8773881358298,135
47,211,433.6008042101038,197
46,180,465.6365835342023,162
45,46,452.5848321444866,37
44,1186,454.7030255640073,1182
43,172,423.1062779266991,11
42,620,,
41,59,385.1781825782525,4
39,4,480.5186278655634,3
37,6,471.84271645806996,5
36,28,457.29192440726456,26
35,4,148.9447027629431,2
34,12,477.0338631347279,11
33,15,443.8476883968692,13
32,12,393.24748840246747,8
31,56,402.1844069494008,53
30,7,348.45849123679176,4
29,9,402.97092396195103,8
28,5,833.6643107531752,4
27,12,441.2486233028133,11
26,7,1098.4217050793538,5
25,67,481.23659675634974,19
23,3,,
19,1,,
16,1,,
