Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,49,,
55,152,514.7207541475863,145
54,72,516.3001179520667,59
53,31,522.9340348574931,27
52,29,524.9411571624114,23
51,119,524.7521002585058,117
50,83,632.7542002874089,75
49,133,405.5672891126271,126
48,152,422.80694477294793,136
47,208,439.74499226812316,195
46,169,466.80247496764196,149
45,60,450.92743193921194,38
44,1204,456.5278359418396,1201
43,153,425.4966966044226,11
42,603,,
41,76,383.7303320229858,4
40,1,,
39,3,,
37,8,460.8258499281405,7
36,23,,
35,7,162.9586191853055,2
34,13,472.1855846208631,12
33,16,443.25966174953777,15
32,13,560.4536477677822,11
31,52,,
30,9,355.17632929603184,5
29,9,,
28,4,,
27,11,398.47827523191586,10
26,7,1011.6308963468334,4
25,67,495.31385073815767,18
24,1,,
23,3,,
19,1,,
16,1,,
