Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,52,492.25431989430757,51
55,145,122.64929751913279,140
54,77,37.03710458394793,59
53,36,73.41606695609835,32
52,24,61.05887296900623,23
51,112,42.61179703406348,110
50,90,228.47869749144562,75
49,134,83.9939012348265,127
48,142,74.39914687129999,127
47,214,55.18428234469745,192
46,176,42.37004845486556,153
45,53,54.17498198798545,35
44,1205,36.46245676458016,1199
43,154,35.39880050584195,10
42,620,29.191521535464357,619
41,60,316.78976925735276,4
39,4,32.508602766196944,3
38,1,,
37,6,,
36,29,37.54116215951693,28
35,3,,
34,11,,
33,18,157.23935596024967,16
32,10,255.1076481417643,9
31,54,73.98536180397522,52
30,9,86.32704324157869,5
29,9,,
28,3,,
27,12,199.24467987121034,10
26,8,895.664904172966,5
25,66,53.825723999543946,18
24,1,,
23,3,,
19,1,,
16,1,,
