Iteration,SampleCount,P_PERIOD,P_PERIOD_Weight
56,50,,
55,151,515.2186880151725,145
54,69,517.1208572533703,56
53,38,520.090332727312,31
52,24,526.2266340148055,22
51,111,524.8773798859561,108
50,90,635.5041161314844,73
49,134,409.55567415663205,125
48,153,424.74869870287415,136
47,207,432.26742097501574,194
46,177,465.23290475575556,156
45,53,453.603191496628,38
44,1211,453.469697730807,1208
43,145,417.8735550401732,10
42,601,455.5133164852873,600
41,79,377.8154818944481,4
40,1,,
39,3,,
38,1,,
37,6,,
36,27,465.6009309702106,26
35,5,212.92801973329833,3
34,10,,
33,18,423.73862052729373,15
32,12,582.4718228997929,10
31,55,365.0289030675354,54
30,5,323.8422138773892,3
29,11,369.6323940485165,9
28,4,,
27,12,426.1513086919213,11
26,7,1160.7820787107162,5
25,66,500.81760115261756,18
24,1,,
23,3,,
18,1,,
16,1,,
